time,Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01T00:00:00.000000,Denmark,West Denmark,DK-DK1,153.17,215.73,77.25,69.15,entsoe.eu,false,""
2021-01-01T01:00:00.000000,Denmark,West Denmark,DK-DK1,133.44,194.72,79.81,70.59,entsoe.eu,false,""
2021-01-01T02:00:00.000000,Denmark,West Denmark,DK-DK1,127.96,187.31,80.3,70.52,entsoe.eu,false,""
2021-01-01T03:00:00.000000,Denmark,West Denmark,DK-DK1,129.45,187.94,80.12,70.42,entsoe.eu,false,""
2021-01-01T04:00:00.000000,Denmark,West Denmark,DK-DK1,133.34,193.32,79.56,70.31,entsoe.eu,false,""
2021-01-01T05:00:00.000000,Denmark,West Denmark,DK-DK1,137.49,199.4,79.09,70.41,entsoe.eu,false,""
2021-01-01T06:00:00.000000,Denmark,West Denmark,DK-DK1,143.79,206.6,77.42,69.51,entsoe.eu,false,""
2021-01-01T07:00:00.000000,Denmark,West Denmark,DK-DK1,143.11,209.47,77.08,69.2,entsoe.eu,false,""
2021-01-01T08:00:00.000000,Denmark,West Denmark,DK-DK1,153.55,218.07,75.76,67.98,entsoe.eu,false,""
2021-01-01T09:00:00.000000,Denmark,West Denmark,DK-DK1,162.66,228.93,74.55,67.66,entsoe.eu,false,""
2021-01-01T10:00:00.000000,Denmark,West Denmark,DK-DK1,164.94,232.37,74.22,67.57,entsoe.eu,false,""
2021-01-01T11:00:00.000000,Denmark,West Denmark,DK-DK1,188.24,256.78,71.63,65.08,entsoe.eu,false,""
2021-01-01T12:00:00.000000,Denmark,West Denmark,DK-DK1,197.01,265.58,70.33,64.21,entsoe.eu,false,""
2021-01-01T13:00:00.000000,Denmark,West Denmark,DK-DK1,184.74,253.12,71.68,65.48,entsoe.eu,false,""
2021-01-01T14:00:00.000000,Denmark,West Denmark,DK-DK1,211.81,280.82,68.54,62.76,entsoe.eu,false,""
2021-01-01T15:00:00.000000,Denmark,West Denmark,DK-DK1,218.43,289.18,67.37,61.77,entsoe.eu,false,""
2021-01-01T16:00:00.000000,Denmark,West Denmark,DK-DK1,234.67,305.28,65.71,60.1,entsoe.eu,false,""
2021-01-01T17:00:00.000000,Denmark,West Denmark,DK-DK1,234.81,304.05,65.97,60.47,entsoe.eu,false,""
2021-01-01T18:00:00.000000,Denmark,West Denmark,DK-DK1,230.7,299.98,66.46,60.77,entsoe.eu,false,""
2021-01-01T19:00:00.000000,Denmark,West Denmark,DK-DK1,220.48,290.07,67.35,61.49,entsoe.eu,false,""
2021-01-01T20:00:00.000000,Denmark,West Denmark,DK-DK1,216.4,287.16,67.91,61.97,entsoe.eu,false,""
2021-01-01T21:00:00.000000,Denmark,West Denmark,DK-DK1,207.7,279.98,68.91,62.47,entsoe.eu,false,""
2021-01-01T22:00:00.000000,Denmark,West Denmark,DK-DK1,198.58,271.15,70.14,62.88,entsoe.eu,false,""
2021-01-01T23:00:00.000000,Denmark,West Denmark,DK-DK1,160.27,227.57,75.06,67.21,entsoe.eu,false,""
2021-01-02T00:00:00.000000,Denmark,West Denmark,DK-DK1,167.53,235.39,74.16,66.61,entsoe.eu,false,""
2021-01-02T01:00:00.000000,Denmark,West Denmark,DK-DK1,147.51,214.68,76.33,68.43,entsoe.eu,false,""
2021-01-02T02:00:00.000000,Denmark,West Denmark,DK-DK1,137.38,203.83,77.47,69.48,entsoe.eu,false,""
2021-01-02T03:00:00.000000,Denmark,West Denmark,DK-DK1,130.41,194.37,78.01,69.97,entsoe.eu,false,""
2021-01-02T04:00:00.000000,Denmark,West Denmark,DK-DK1,137.44,200.01,77.44,69.62,entsoe.eu,false,""
2021-01-02T05:00:00.000000,Denmark,West Denmark,DK-DK1,142.01,203.67,76.75,69.05,entsoe.eu,false,""
2021-01-02T06:00:00.000000,Denmark,West Denmark,DK-DK1,159.41,220.4,74.15,66.62,entsoe.eu,false,""
2021-01-02T07:00:00.000000,Denmark,West Denmark,DK-DK1,158.8,221.25,73.62,66.55,entsoe.eu,false,""
2021-01-02T08:00:00.000000,Denmark,West Denmark,DK-DK1,182.68,246.59,70.93,64.03,entsoe.eu,false,""
2021-01-02T09:00:00.000000,Denmark,West Denmark,DK-DK1,181.14,246.56,71.22,64.61,entsoe.eu,false,""
2021-01-02T10:00:00.000000,Denmark,West Denmark,DK-DK1,197.71,265.88,69.64,63.52,entsoe.eu,false,""
2021-01-02T11:00:00.000000,Denmark,West Denmark,DK-DK1,212.92,280.63,68.05,62.13,entsoe.eu,false,""
2021-01-02T12:00:00.000000,Denmark,West Denmark,DK-DK1,207.42,273.18,68.52,62.03,entsoe.eu,false,""
2021-01-02T13:00:00.000000,Denmark,West Denmark,DK-DK1,215.18,279.41,67.52,61.12,entsoe.eu,false,""
2021-01-02T14:00:00.000000,Denmark,West Denmark,DK-DK1,227.28,295.35,65.92,60.19,entsoe.eu,false,""
2021-01-02T15:00:00.000000,Denmark,West Denmark,DK-DK1,240.93,308.26,64.87,59.33,entsoe.eu,false,""
2021-01-02T16:00:00.000000,Denmark,West Denmark,DK-DK1,241.28,307.62,64.95,59.5,entsoe.eu,false,""
2021-01-02T17:00:00.000000,Denmark,West Denmark,DK-DK1,228.1,294.19,66.53,60.81,entsoe.eu,false,""
2021-01-02T18:00:00.000000,Denmark,West Denmark,DK-DK1,225.06,288.66,67.1,61.68,entsoe.eu,false,""
2021-01-02T19:00:00.000000,Denmark,West Denmark,DK-DK1,215.52,277.06,68.59,63.21,entsoe.eu,false,""
2021-01-02T20:00:00.000000,Denmark,West Denmark,DK-DK1,199.92,259.94,70.62,65.06,entsoe.eu,false,""
2021-01-02T21:00:00.000000,Denmark,West Denmark,DK-DK1,195.55,254.94,71.43,65.71,entsoe.eu,false,""
2021-01-02T22:00:00.000000,Denmark,West Denmark,DK-DK1,160.06,217.38,75.6,69.45,entsoe.eu,false,""
2021-01-02T23:00:00.000000,Denmark,West Denmark,DK-DK1,141.09,196.28,78.79,71.84,entsoe.eu,false,""
2021-01-03T00:00:00.000000,Denmark,West Denmark,DK-DK1,138.6,192.92,79.21,72.39,entsoe.eu,false,""
2021-01-03T01:00:00.000000,Denmark,West Denmark,DK-DK1,121.72,174.06,81.23,74.58,entsoe.eu,false,""
2021-01-03T02:00:00.000000,Denmark,West Denmark,DK-DK1,108.7,152.04,83.51,76.59,entsoe.eu,false,""
2021-01-03T03:00:00.000000,Denmark,West Denmark,DK-DK1,100.06,141.67,84.49,77.91,entsoe.eu,false,""
2021-01-03T04:00:00.000000,Denmark,West Denmark,DK-DK1,105.17,148.3,83.86,78.06,entsoe.eu,false,""
2021-01-03T05:00:00.000000,Denmark,West Denmark,DK-DK1,105.73,149.42,84.16,80.37,entsoe.eu,false,""
2021-01-03T06:00:00.000000,Denmark,West Denmark,DK-DK1,98.93,142.06,85.16,82.33,entsoe.eu,false,""
2021-01-03T07:00:00.000000,Denmark,West Denmark,DK-DK1,93.19,133.13,86.18,84.24,entsoe.eu,false,""
2021-01-03T08:00:00.000000,Denmark,West Denmark,DK-DK1,95.88,136.62,85.73,84.42,entsoe.eu,false,""
2021-01-03T09:00:00.000000,Denmark,West Denmark,DK-DK1,93.55,135.39,86.14,86.11,entsoe.eu,false,""
2021-01-03T10:00:00.000000,Denmark,West Denmark,DK-DK1,90.43,131.26,86.44,86.44,entsoe.eu,false,""
2021-01-03T11:00:00.000000,Denmark,West Denmark,DK-DK1,97.52,141.86,85.62,85.58,entsoe.eu,false,""
2021-01-03T12:00:00.000000,Denmark,West Denmark,DK-DK1,92.08,135.69,86.27,86.27,entsoe.eu,false,""
2021-01-03T13:00:00.000000,Denmark,West Denmark,DK-DK1,108.94,153.39,84.43,84.1,entsoe.eu,false,""
2021-01-03T14:00:00.000000,Denmark,West Denmark,DK-DK1,108.34,152.54,84.48,84.13,entsoe.eu,false,""
2021-01-03T15:00:00.000000,Denmark,West Denmark,DK-DK1,97.67,140.72,85.8,85.75,entsoe.eu,false,""
2021-01-03T16:00:00.000000,Denmark,West Denmark,DK-DK1,127.29,171.5,82.0,81.99,entsoe.eu,false,""
2021-01-03T17:00:00.000000,Denmark,West Denmark,DK-DK1,108.28,151.04,83.94,83.94,entsoe.eu,false,""
