time,Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01T00:00:00.000000,Portugal,Portugal,PT,60.29,100.88,84.25,83.91,entsoe.eu,false,""
2021-01-01T01:00:00.000000,Portugal,Portugal,PT,59.46,104.16,84.4,84.21,entsoe.eu,false,""
2021-01-01T02:00:00.000000,Portugal,Portugal,PT,62.23,109.35,83.88,81.93,entsoe.eu,false,""
2021-01-01T03:00:00.000000,Portugal,Portugal,PT,56.46,101.66,86.04,80.11,entsoe.eu,false,""
2021-01-01T04:00:00.000000,Portugal,Portugal,PT,52.86,97.29,87.16,80.57,entsoe.eu,false,""
2021-01-01T05:00:00.000000,Portugal,Portugal,PT,53.39,98.74,86.96,80.4,entsoe.eu,false,""
2021-01-01T06:00:00.000000,Portugal,Portugal,PT,55.8,102.13,86.43,79.0,entsoe.eu,false,""
2021-01-01T07:00:00.000000,Portugal,Portugal,PT,53.87,99.91,86.8,80.31,entsoe.eu,false,""
2021-01-01T08:00:00.000000,Portugal,Portugal,PT,52.83,98.3,87.05,80.54,entsoe.eu,false,""
2021-01-01T09:00:00.000000,Portugal,Portugal,PT,49.17,92.68,87.99,81.78,entsoe.eu,false,""
2021-01-01T10:00:00.000000,Portugal,Portugal,PT,46.6,88.61,88.61,82.36,entsoe.eu,false,""
2021-01-01T11:00:00.000000,Portugal,Portugal,PT,47.44,88.99,88.49,81.16,entsoe.eu,false,""
2021-01-01T12:00:00.000000,Portugal,Portugal,PT,44.36,84.09,89.25,82.72,entsoe.eu,false,""
2021-01-01T13:00:00.000000,Portugal,Portugal,PT,41.41,79.42,89.87,84.58,entsoe.eu,false,""
2021-01-01T14:00:00.000000,Portugal,Portugal,PT,51.62,92.82,87.25,81.5,entsoe.eu,false,""
2021-01-01T15:00:00.000000,Portugal,Portugal,PT,64.96,110.49,83.39,79.51,entsoe.eu,false,""
2021-01-01T16:00:00.000000,Portugal,Portugal,PT,80.74,129.57,78.8,77.87,entsoe.eu,false,""
2021-01-01T17:00:00.000000,Portugal,Portugal,PT,81.37,124.77,78.78,77.89,entsoe.eu,false,""
2021-01-01T18:00:00.000000,Portugal,Portugal,PT,78.37,119.5,79.61,78.63,entsoe.eu,false,""
2021-01-01T19:00:00.000000,Portugal,Portugal,PT,68.27,106.38,82.37,81.32,entsoe.eu,false,""
2021-01-01T20:00:00.000000,Portugal,Portugal,PT,65.08,102.65,83.18,82.2,entsoe.eu,false,""
2021-01-01T21:00:00.000000,Portugal,Portugal,PT,78.11,119.72,79.7,78.7,entsoe.eu,false,""
2021-01-01T22:00:00.000000,Portugal,Portugal,PT,71.02,113.15,81.83,78.8,entsoe.eu,false,""
2021-01-01T23:00:00.000000,Portugal,Portugal,PT,78.19,126.89,80.38,73.12,entsoe.eu,false,""
